year,genre,book_title,author_name,translator,editor,gender,birth_year,image_url,publishing_imprint,big_five,num_pages,link
2013,Fiction,Tenth Of December,George Saunders,,,male,1958,https://images.gr-assets.com/books/1349967540m/13641208.jpg,Random House,Penguin Random House,272,https://www.goodreads.com/book/show/13641208-tenth-of-december
2012,Nonfiction,"Behind The Beautiful Forevers: Life, Death, And Hope In A Mumbai Undercity",Katherine Boo,,,female,1964,https://images.gr-assets.com/books/1315601232l/11869272.jpg,Random House,Penguin Random House,256,https://www.goodreads.com/book/show/11869272-behind-the-beautiful-forevers
2011,Fiction,The Tiger's Wife,Tea Obreht,,,female,1985,https://images.gr-assets.com/books/1382570044m/8366402.jpg,Random House,Penguin Random House,338,https://www.goodreads.com/book/show/8366402-the-tiger-s-wife
2011,Nonfiction,A World On Fire: Britain's Crucial Role In The American Civil War,Amanda Foreman,,,female,1968,https://images.gr-assets.com/books/1333577814m/8796854.jpg,Random House,Penguin Random House,988,https://www.goodreads.com/book/show/8796854-a-world-on-fire
2010,Nonfiction,Apollo's Angels: A History Of Ballet,Jennifer Homans,,,female,,https://images.gr-assets.com/books/1347374575l/8268599.jpg,Random House,Penguin Random House,643,https://www.goodreads.com/book/show/8268599-apollo-s-angels
2010,Nonfiction,The Warmth Of Other Suns: The Epic Story Of America's Great Migration,Isabel Wilkerson,,,female,1961,https://images.gr-assets.com/books/1433354252m/8171378.jpg,Random House,Penguin Random House,622,https://www.goodreads.com/book/show/8171378-the-warmth-of-other-suns
1999,Nonfiction,Morgan: American Financier,Jean Strouse,,,female,1945,https://images.gr-assets.com/books/1387708472l/1325761.jpg,Random House,Penguin Random House,816,https://www.goodreads.com/book/show/1325761.Morgan
2006,Fiction,Absurdistan,Gary Shteyngart,,,male,1972,https://images.gr-assets.com/books/1486266465m/70509.jpg,Random House,Penguin Random House,333,https://www.goodreads.com/book/show/70509.Absurdistan
2005,Fiction,Prep,Curtis Sittenfeld,,,male,1975,https://images.gr-assets.com/books/1386925666l/9844.jpg,Random House,Penguin Random House,420,https://www.goodreads.com/book/show/9844.Prep
2005,Nonfiction,The Lost Painting,Jonathan Harr,,,male,1948,https://images.gr-assets.com/books/1388187150l/27398.jpg,Random House,Penguin Random House,320,https://www.goodreads.com/book/show/27398.The_Lost_Painting
